candidate,track,scene_id,seed,wall_time_s,step_count,ended_reason,ended_by_safety_reject,real_follower_write_count,kinematic_pick_drop_success,physics_pick_drop_success,approach_success,approach_min_dist_m,grasp_pose_reached,gripper_close_detected,gripper_close_timing_ok,lift_success,lift_max_height_m,carry_direction_ok,carry_bin_dist_trend,bin_vicinity_reached,ee_bin_min_dist_m,gripper_release_detected,release_timing_ok,grasp_contact_detected,cube_secured,physics_lifted,physics_carried,physics_released,physics_dropped_early,physics_final_in_bin,safety_accept_count,safety_would_clamp_count,safety_reject_count,clamp_free,mean_abs_jerk_deg,max_single_step_delta_deg,failure_reason,failure_track,failure_cause,episode_index,dataset_root
A,primary,mujoco_rollout_test06,2,2.52,350,episode_exhausted,False,0,False,False,True,0.0225,True,True,True,True,0.1841,False,-0.2757,False,0.317,False,False,True,False,False,False,False,False,False,85,265,0,False,1.1348842756205202,16.270581245422363,wrong_direction,kinematic,policy_trajectory,5,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test07,0,2.6,350,episode_exhausted,False,0,False,False,False,0.1131,False,True,False,True,0.0988,False,-0.3415,False,0.2414,False,False,False,False,False,False,False,False,False,115,235,0,False,1.405087647871736,19.032496287908657,failed_approach,kinematic,timeout,6,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test07,1,2.52,350,episode_exhausted,False,0,False,False,False,0.1063,False,True,False,True,0.0918,False,-0.3452,False,0.237,False,False,False,False,False,False,False,False,False,93,257,0,False,1.2958967224506217,15.59236839587652,failed_approach,kinematic,timeout,6,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test07,2,2.52,350,episode_exhausted,False,0,False,False,False,0.1083,False,True,False,True,0.083,False,-0.3368,False,0.2535,True,False,False,False,False,False,False,False,False,114,236,0,False,1.2931326777020167,17.170902252197266,failed_approach,kinematic,timeout,6,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test08,0,2.6,350,episode_exhausted,False,0,False,False,False,0.132,False,True,False,True,0.1813,False,-0.1975,False,0.3234,False,False,False,False,False,False,False,False,False,119,231,0,False,1.2209929404224027,21.735901018558934,failed_approach,kinematic,timeout,7,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test08,1,2.66,350,episode_exhausted,False,0,False,False,False,0.1336,False,True,False,True,0.1795,False,-0.1927,False,0.3249,False,False,False,False,False,False,False,False,False,113,237,0,False,1.21814363591929,20.89938050475702,failed_approach,kinematic,timeout,7,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test08,2,2.55,350,episode_exhausted,False,0,False,False,False,0.1335,False,True,False,True,0.1717,False,-0.1976,False,0.3262,False,False,False,False,False,False,False,False,False,116,234,0,False,1.28963667431819,16.35050855100053,failed_approach,kinematic,timeout,7,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test09,0,2.5,350,episode_exhausted,False,0,False,False,False,0.1551,False,True,False,True,0.1795,False,-0.2614,False,0.3258,False,False,False,False,False,False,False,False,False,127,223,0,False,1.2879242105720417,24.363235473632812,failed_approach,kinematic,timeout,8,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test09,1,2.34,350,episode_exhausted,False,0,False,False,False,0.1558,False,True,False,True,0.1716,False,-0.2612,False,0.3237,False,False,False,False,False,False,False,False,False,125,225,0,False,1.361632589413355,22.703369140625,failed_approach,kinematic,timeout,8,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test09,2,2.5,350,episode_exhausted,False,0,False,False,False,0.1562,False,True,False,True,0.1742,False,-0.2474,False,0.3259,False,False,False,False,False,False,False,False,False,137,213,0,False,1.4064028962714554,17.15964126586914,failed_approach,kinematic,timeout,8,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test10,0,2.05,238,safety_reject,True,0,False,False,False,0.2049,False,True,False,True,0.1731,False,-0.1078,False,0.2269,False,False,False,False,False,False,False,False,False,50,187,1,False,1.289703596096471,19.464988708496094,safety_reject,kinematic,safety_reject,9,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test10,1,2.46,350,episode_exhausted,False,0,False,False,False,0.1335,False,True,False,True,0.1632,False,-0.3593,False,0.229,False,False,False,False,False,False,False,False,False,122,228,0,False,1.3925040501616581,21.0783067843117,failed_approach,kinematic,timeout,9,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test10,2,2.46,350,episode_exhausted,False,0,False,False,False,0.1411,False,True,False,True,0.1738,False,-0.375,False,0.2312,False,False,False,False,False,False,False,False,False,116,234,0,False,1.3724804100930768,22.056096995492325,failed_approach,kinematic,timeout,9,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,secondary,mujoco_rollout_test01,0,114.21,400,max_steps_reached,False,0,False,False,False,0.0982,False,False,False,False,0.0,False,0.0,False,0.3282,False,False,False,False,False,False,False,False,False,66,334,0,False,0.9102506874878861,6.553703308105469,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test01,1,101.85,400,max_steps_reached,False,0,False,False,False,0.1112,False,False,False,False,0.0,False,0.0,False,0.3282,False,False,False,False,False,False,False,False,False,116,284,0,False,0.9419566343371786,7.852992057800293,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test01,2,99.42,400,max_steps_reached,False,0,False,False,False,0.1299,False,False,False,False,0.0,False,0.0,False,0.3282,False,False,False,False,False,False,False,False,False,164,236,0,False,0.8772171690887678,6.476459005976821,failed_approach,kinematic,timeout,,
