dataset_a,episode_a,frame_a,dataset_b,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,16,12,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,13,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,14,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,15,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,16,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,17,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,16,18,v2_clean,22,23,1.4761,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,18,17,v2_clean,22,23,2.4313,0.2637,4.6593,4.3956,-1.0110,-6.0220,5.0110,5.0110
v2_clean,18,18,v2_clean,22,23,2.4313,0.2637,4.6593,4.3956,-1.0110,-6.0220,5.0110,5.0110
v2_clean,20,10,v2_clean,22,23,2.5106,-0.3516,4.6593,5.0110,-2.2418,-6.0220,3.7802,5.0110
v2_clean,20,11,v2_clean,22,23,2.5106,-0.3516,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
v2_clean,21,7,v2_clean,22,23,1.8885,-0.3516,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
v2_clean,21,8,v2_clean,22,23,1.8885,-0.3516,4.6593,5.0110,-2.4176,-6.0220,3.6044,5.0110
v2_clean,21,9,v2_clean,22,23,1.8885,-0.3516,4.6593,5.0110,-2.4176,-6.0220,3.6044,5.0110
v2_clean,21,10,v2_clean,22,23,1.8885,-0.3516,4.6593,5.0110,-2.4176,-6.0220,3.6044,5.0110
v2_clean,21,11,v2_clean,22,23,1.8885,-0.3516,4.6593,5.0110,-2.4176,-6.0220,3.6044,5.0110
v2_clean,9,19,v2_clean,22,23,2.4496,-0.2637,4.6593,4.9231,-2.4176,-6.0220,3.6044,4.9231
v2_clean,17,18,v2_clean,22,23,1.8542,-0.2637,4.6593,4.9231,-2.2418,-6.0220,3.7802,4.9231
v2_clean,18,0,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,1,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,2,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,3,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,4,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,5,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,6,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,7,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3077,-5.2308,4.9231,4.9231
v2_clean,18,19,v2_clean,22,23,2.4313,0.2637,4.6593,4.3956,-1.0989,-6.0220,4.9231,4.9231
v2_clean,18,20,v2_clean,22,23,2.4313,0.6154,4.6593,4.0440,-1.0989,-6.0220,4.9231,4.9231
v2_clean,20,12,v2_clean,22,23,2.5106,-0.2637,4.6593,4.9231,-2.3297,-6.0220,3.6923,4.9231
v2_clean,20,13,v2_clean,22,23,2.5106,-0.2637,4.6593,4.9231,-2.4176,-6.0220,3.6044,4.9231
v2_clean,20,14,v2_clean,22,23,2.5106,-0.2637,4.6593,4.9231,-2.6813,-6.0220,3.3407,4.9231
v2_clean,20,15,v2_clean,22,23,2.5106,-0.2637,4.6593,4.9231,-2.7692,-6.0220,3.2527,4.9231
v2_clean,20,16,v2_clean,22,23,2.4843,-0.2637,4.6593,4.9231,-2.7692,-6.0220,3.2528,4.9231
v2_clean,20,17,v2_clean,22,23,2.4843,-0.2637,4.6593,4.9231,-2.7692,-6.0220,3.2528,4.9231
v2_clean,16,19,v2_clean,22,23,1.4761,-0.2637,4.6593,4.9231,-2.3297,-6.0220,3.6923,4.9231
v2_clean,16,20,v2_clean,22,23,1.4761,-0.2637,4.6593,4.9231,-2.3297,-6.0220,3.6923,4.9231
v2_clean,16,21,v2_clean,22,23,1.4761,-0.2637,4.6593,4.9231,-2.3297,-6.0220,3.6923,4.9231
v2_clean,16,22,v2_clean,22,23,1.4761,-0.2637,4.6593,4.9231,-2.3297,-6.0220,3.6923,4.9231
v2_clean,21,12,v2_clean,22,23,1.8885,-0.2637,4.6593,4.9231,-2.4176,-6.0220,3.6044,4.9231
v2_clean,21,13,v2_clean,22,23,1.8885,-0.2637,4.6593,4.9231,-2.4176,-6.0220,3.6044,4.9231
v2_clean,21,14,v2_clean,22,23,1.8885,-0.2637,4.6593,4.9231,-2.5055,-6.0220,3.5165,4.9231
v2_clean,18,8,v2_clean,22,22,2.8240,0.0879,3.5165,3.4286,-0.3956,-5.2308,4.8352,4.8352
v2_clean,18,9,v2_clean,22,22,2.8240,0.1758,3.5165,3.3407,-0.3956,-5.2308,4.8352,4.8352
v2_clean,18,10,v2_clean,22,22,2.8240,0.3516,3.5165,3.1648,-0.3956,-5.2308,4.8352,4.8352
