dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,31,wrist_flex,26,0.8318,0.8352,1.6923,2.8571,4.01,0.0000
v2_clean,31,wrist_roll,26,0.2908,0.2637,0.3516,0.3516,1.15,0.0000
v2_clean,31,gripper,26,0.3074,0.3074,0.3074,0.3074,9.17,0.0000
v2_clean,32,shoulder_pan,20,1.0462,1.0549,1.0549,1.0549,4.58,0.0000
v2_clean,32,shoulder_lift,20,0.7692,0.3956,3.0286,3.7802,5.16,0.0000
v2_clean,32,elbow_flex,20,2.2286,2.0220,3.5077,4.1758,5.73,0.0000
v2_clean,32,wrist_flex,20,0.7165,0.7473,0.8352,0.8352,4.01,0.0000
v2_clean,32,wrist_roll,20,0.0264,0.0000,0.0879,0.0879,1.15,0.0000
v2_clean,32,gripper,20,0.1106,0.1106,0.1106,0.1106,9.17,0.0000
v2_clean,33,shoulder_pan,24,0.2161,0.1758,0.2637,0.2637,4.58,0.0000
v2_clean,33,shoulder_lift,24,0.7949,0.4835,2.6549,3.6923,5.16,0.0000
v2_clean,33,elbow_flex,24,2.2967,2.2857,3.5429,4.3516,5.73,0.0000
v2_clean,33,wrist_flex,24,0.1355,0.1319,0.2198,0.2198,4.01,0.0000
v2_clean,33,wrist_roll,24,0.1648,0.0879,0.3516,0.3516,1.15,0.0000
v2_clean,33,gripper,24,0.3216,0.3216,0.3216,0.3216,9.17,0.0000
v2_clean,34,shoulder_pan,22,0.7193,0.7033,0.9626,0.9670,4.58,0.0000
v2_clean,34,shoulder_lift,22,0.7672,0.3516,2.9363,3.9560,5.16,0.0000
v2_clean,34,elbow_flex,22,2.1499,1.8901,3.2703,4.0879,5.73,0.0000
v2_clean,34,wrist_flex,22,0.3157,0.3077,0.5582,0.5714,4.01,0.0000
v2_clean,34,wrist_roll,22,0.1998,0.2637,0.2637,0.2637,1.15,0.0000
v2_clean,34,gripper,22,0.3686,0.3686,0.3686,0.3686,9.17,0.0000
v3_start_coverage,0,shoulder_pan,35,0.8088,0.7912,0.9670,0.9670,4.58,0.0000
v3_start_coverage,0,shoulder_lift,35,0.6053,0.5275,1.3802,2.9011,5.16,0.0000
v3_start_coverage,0,elbow_flex,35,2.2845,1.9780,3.3055,4.2637,5.73,0.0000
v3_start_coverage,0,wrist_flex,35,0.1369,0.1319,0.2462,0.3077,4.01,0.0000
v3_start_coverage,0,wrist_roll,35,0.1934,0.1758,0.2637,0.2637,1.15,0.0000
v3_start_coverage,0,gripper,35,0.3074,0.3074,0.3074,0.3074,9.17,0.0000
v3_start_coverage,1,shoulder_pan,40,0.7187,0.7033,0.7912,0.7912,4.58,0.0000
v3_start_coverage,1,shoulder_lift,40,0.5560,0.3516,1.6264,3.4286,5.16,0.0000
v3_start_coverage,1,elbow_flex,40,1.7473,1.5385,2.3648,3.8242,5.73,0.0000
v3_start_coverage,1,wrist_flex,40,0.5209,0.4835,0.7473,0.7473,4.01,0.0000
v3_start_coverage,1,wrist_roll,40,0.1209,0.0879,0.3516,0.3516,1.15,0.0000
v3_start_coverage,1,gripper,40,0.3705,0.3705,0.3705,0.3705,9.17,0.0000
v3_start_coverage,2,shoulder_pan,55,0.2637,0.2637,0.2637,0.2637,4.58,0.0000
v3_start_coverage,2,shoulder_lift,55,0.5866,0.4396,1.0110,2.9890,5.16,0.0000
v3_start_coverage,2,elbow_flex,55,2.0004,1.8901,2.5319,3.6484,5.73,0.0000
v3_start_coverage,2,wrist_flex,55,1.0350,1.0110,1.0989,1.0989,4.01,0.0000
v3_start_coverage,2,wrist_roll,55,0.0863,0.0879,0.1143,0.1758,1.15,0.0000
v3_start_coverage,2,gripper,55,0.3945,0.3945,0.3945,0.3945,9.17,0.0000
v3_start_coverage,3,shoulder_pan,28,1.0455,1.0549,1.0549,1.0549,4.58,0.0000
v3_start_coverage,3,shoulder_lift,28,0.6248,0.4835,1.4242,2.4615,5.16,0.0000
v3_start_coverage,3,elbow_flex,28,2.3234,1.7143,4.9275,5.4066,5.73,0.0000
v3_start_coverage,3,wrist_flex,28,0.2857,0.0440,1.9429,2.2418,4.01,0.0000
v3_start_coverage,3,wrist_roll,28,0.0754,0.0879,0.0879,0.0879,1.15,0.0000
v3_start_coverage,3,gripper,28,0.4358,0.4376,0.5086,0.5086,9.17,0.0000
v3_start_coverage,4,shoulder_pan,82,0.4396,0.4396,0.4396,0.4396,4.58,0.0000
v3_start_coverage,4,shoulder_lift,82,0.4867,0.3516,0.7824,3.5165,5.16,0.0000
