dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,33,gripper,24,0.32156,0.32156,0.32156,0.32156,9.17000,0.00000
v2_clean,34,shoulder_pan,22,0.71928,0.70330,0.96264,0.96703,4.58000,0.00000
v2_clean,34,shoulder_lift,22,0.76723,0.35165,2.93626,3.95604,5.16000,0.00000
v2_clean,34,elbow_flex,22,2.14985,1.89011,3.27033,4.08791,5.73000,0.00000
v2_clean,34,wrist_flex,22,0.31569,0.30769,0.55824,0.57143,4.01000,0.00000
v2_clean,34,wrist_roll,22,0.19980,0.26374,0.26374,0.26374,1.15000,0.00000
v2_clean,34,gripper,22,0.36858,0.36858,0.36858,0.36858,9.17000,0.00000
v3_clean,0,shoulder_pan,35,0.80879,0.79121,0.96703,0.96703,4.58000,0.00000
v3_clean,0,shoulder_lift,35,0.60534,0.52747,1.38022,2.90109,5.16000,0.00000
v3_clean,0,elbow_flex,35,2.28446,1.97802,3.30550,4.26373,5.73000,0.00000
v3_clean,0,wrist_flex,35,0.13689,0.13187,0.24615,0.30769,4.01000,0.00000
v3_clean,0,wrist_roll,35,0.19341,0.17582,0.26374,0.26374,1.15000,0.00000
v3_clean,0,gripper,35,0.30740,0.30740,0.30740,0.30740,9.17000,0.00000
v3_clean,1,shoulder_pan,40,0.71868,0.70330,0.79121,0.79121,4.58000,0.00000
v3_clean,1,shoulder_lift,40,0.55604,0.35165,1.62637,3.42857,5.16000,0.00000
v3_clean,1,elbow_flex,40,1.74725,1.53846,2.36484,3.82417,5.73000,0.00000
v3_clean,1,wrist_flex,40,0.52088,0.48352,0.74725,0.74725,4.01000,0.00000
v3_clean,1,wrist_roll,40,0.12088,0.08791,0.35165,0.35165,1.15000,0.00000
v3_clean,1,gripper,40,0.37054,0.37054,0.37054,0.37054,9.17000,0.00000
v3_clean,2,shoulder_pan,55,0.26374,0.26374,0.26374,0.26374,4.58000,0.00000
v3_clean,2,shoulder_lift,55,0.58661,0.43956,1.01099,2.98901,5.16000,0.00000
v3_clean,2,elbow_flex,55,2.00040,1.89011,2.53187,3.64835,5.73000,0.00000
v3_clean,2,wrist_flex,55,1.03496,1.01099,1.09890,1.09890,4.01000,0.00000
v3_clean,2,wrist_roll,55,0.08631,0.08791,0.11429,0.17582,1.15000,0.00000
v3_clean,2,gripper,55,0.39449,0.39449,0.39449,0.39449,9.17000,0.00000
v3_clean,3,shoulder_pan,28,1.04553,1.05494,1.05494,1.05494,4.58000,0.00000
v3_clean,3,shoulder_lift,28,0.62481,0.48352,1.42417,2.46154,5.16000,0.00000
v3_clean,3,elbow_flex,28,2.32339,1.71428,4.92747,5.40659,5.73000,0.00000
v3_clean,3,wrist_flex,28,0.28571,0.04395,1.94286,2.24176,4.01000,0.00000
v3_clean,3,wrist_roll,28,0.07535,0.08791,0.08791,0.08791,1.15000,0.00000
v3_clean,3,gripper,28,0.43575,0.43759,0.50856,0.50856,9.17000,0.00000
v3_clean,4,shoulder_pan,82,0.43956,0.43956,0.43956,0.43956,4.58000,0.00000
v3_clean,4,shoulder_lift,82,0.48673,0.35165,0.78242,3.51649,5.16000,0.00000
v3_clean,4,elbow_flex,82,1.91370,1.80220,2.48791,3.91209,5.73000,0.00000
