dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v3_clean,10,38,14,0,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,1,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,2,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,3,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,4,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,5,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,6,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,7,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,8,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,9,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,10,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,11,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,12,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,13,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,14,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,15,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,16,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,17,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,18,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,19,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,20,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,21,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,22,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,23,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,24,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,25,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,26,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,27,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,28,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,29,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,30,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,31,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,32,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,33,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,34,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,35,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,36,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,37,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,38,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,39,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
